danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.799,0.582,11,-12.429,1,0.05,0.545,0.795,0.105,0.669,117.029,audio_features,74OfKhcmck9KUHBPmCaOtY,spotify:track:74OfKhcmck9KUHBPmCaOtY,https://api.spotify.com/v1/tracks/74OfKhcmck9KUHBPmCaOtY,https://api.spotify.com/v1/audio-analysis/74OfKhcmck9KUHBPmCaOtY,263173,4
0.643,0.491,9,-13.101,0,0.162,0.513,0.677,0.11,0.192,122.012,audio_features,2xkib9MAHlGtxJRhIesSAX,spotify:track:2xkib9MAHlGtxJRhIesSAX,https://api.spotify.com/v1/tracks/2xkib9MAHlGtxJRhIesSAX,https://api.spotify.com/v1/audio-analysis/2xkib9MAHlGtxJRhIesSAX,149528,4
0.406,0.661,0,-6.131,1,0.0416,0.073,1.1e-05,0.0811,0.286,110.615,audio_features,0X1VFWzml1YdSOOkxzOK0G,spotify:track:0X1VFWzml1YdSOOkxzOK0G,https://api.spotify.com/v1/tracks/0X1VFWzml1YdSOOkxzOK0G,https://api.spotify.com/v1/audio-analysis/0X1VFWzml1YdSOOkxzOK0G,281133,4
0.617,0.518,2,-7.844,1,0.0341,0.566,0.00406,0.673,0.139,112.18,audio_features,6J4JyWGym75LACyBWqipKv,spotify:track:6J4JyWGym75LACyBWqipKv,https://api.spotify.com/v1/tracks/6J4JyWGym75LACyBWqipKv,https://api.spotify.com/v1/audio-analysis/6J4JyWGym75LACyBWqipKv,213706,4
0.694,0.841,9,-6.66,0,0.0365,0.13,0.41,0.378,0.738,123.028,audio_features,6znJNfmf2HiCXyfaLrcJiH,spotify:track:6znJNfmf2HiCXyfaLrcJiH,https://api.spotify.com/v1/tracks/6znJNfmf2HiCXyfaLrcJiH,https://api.spotify.com/v1/audio-analysis/6znJNfmf2HiCXyfaLrcJiH,261672,4
0.613,0.303,4,-11.377,1,0.0348,0.558,0.00793,0.0773,0.133,118.683,audio_features,0m1x0v0ieuwWBi5Vi5pucs,spotify:track:0m1x0v0ieuwWBi5Vi5pucs,https://api.spotify.com/v1/tracks/0m1x0v0ieuwWBi5Vi5pucs,https://api.spotify.com/v1/audio-analysis/0m1x0v0ieuwWBi5Vi5pucs,143707,4
0.716,0.484,0,-8.001,0,0.0264,0.208,0.000767,0.328,0.651,130.984,audio_features,0spXmYRCgO10zVvQwkj4hZ,spotify:track:0spXmYRCgO10zVvQwkj4hZ,https://api.spotify.com/v1/tracks/0spXmYRCgO10zVvQwkj4hZ,https://api.spotify.com/v1/audio-analysis/0spXmYRCgO10zVvQwkj4hZ,286000,4
0.643,0.547,5,-10.297,0,0.0528,0.198,0.025,0.173,0.324,80.983,audio_features,5duZe3kHUqNENd97WYqmYL,spotify:track:5duZe3kHUqNENd97WYqmYL,https://api.spotify.com/v1/tracks/5duZe3kHUqNENd97WYqmYL,https://api.spotify.com/v1/audio-analysis/5duZe3kHUqNENd97WYqmYL,266722,4
0.825,0.432,9,-12.475,0,0.0978,0.331,0.523,0.124,0.851,115.035,audio_features,293kCqo7pxBoeWQOJldC4J,spotify:track:293kCqo7pxBoeWQOJldC4J,https://api.spotify.com/v1/tracks/293kCqo7pxBoeWQOJldC4J,https://api.spotify.com/v1/audio-analysis/293kCqo7pxBoeWQOJldC4J,176987,4
0.409,0.251,6,-10.294,1,0.0355,0.797,1.05e-05,0.112,0.177,130.391,audio_features,4wO2JlPZw72Xlu6dGUW4Ce,spotify:track:4wO2JlPZw72Xlu6dGUW4Ce,https://api.spotify.com/v1/tracks/4wO2JlPZw72Xlu6dGUW4Ce,https://api.spotify.com/v1/audio-analysis/4wO2JlPZw72Xlu6dGUW4Ce,234077,4
0.583,0.274,11,-12.381,1,0.0394,0.494,0.000306,0.576,0.277,141.925,audio_features,3OsEOumLXnNDp2YOK9Brxq,spotify:track:3OsEOumLXnNDp2YOK9Brxq,https://api.spotify.com/v1/tracks/3OsEOumLXnNDp2YOK9Brxq,https://api.spotify.com/v1/audio-analysis/3OsEOumLXnNDp2YOK9Brxq,187867,4
0.492,0.26,7,-12.784,1,0.0292,0.927,0.00041,0.114,0.328,135.962,audio_features,5RXjt2s4HBJw3TcaAzwSrD,spotify:track:5RXjt2s4HBJw3TcaAzwSrD,https://api.spotify.com/v1/tracks/5RXjt2s4HBJw3TcaAzwSrD,https://api.spotify.com/v1/audio-analysis/5RXjt2s4HBJw3TcaAzwSrD,234753,4
0.538,0.326,9,-10.216,1,0.0442,0.461,0.011,0.157,0.301,131.097,audio_features,2oOCG1vJ8Gj6SVql3J2fsJ,spotify:track:2oOCG1vJ8Gj6SVql3J2fsJ,https://api.spotify.com/v1/tracks/2oOCG1vJ8Gj6SVql3J2fsJ,https://api.spotify.com/v1/audio-analysis/2oOCG1vJ8Gj6SVql3J2fsJ,164426,4
0.705,0.462,4,-9.082,1,0.0311,0.58,0.00302,0.11,0.449,79.515,audio_features,3WrTeKqDCB01NCvLwmV47P,spotify:track:3WrTeKqDCB01NCvLwmV47P,https://api.spotify.com/v1/tracks/3WrTeKqDCB01NCvLwmV47P,https://api.spotify.com/v1/audio-analysis/3WrTeKqDCB01NCvLwmV47P,198812,5
0.504,0.504,0,-5.096,1,0.0256,0.109,2.76e-05,0.1,0.144,83.993,audio_features,4wjE62bHELzlZvE52cxMfL,spotify:track:4wjE62bHELzlZvE52cxMfL,https://api.spotify.com/v1/tracks/4wjE62bHELzlZvE52cxMfL,https://api.spotify.com/v1/audio-analysis/4wjE62bHELzlZvE52cxMfL,212530,3
0.255,0.471,4,-10.523,1,0.0323,0.265,0.000249,0.102,0.254,84.255,audio_features,2qxqP4Es9lS0ieNhyfcxFO,spotify:track:2qxqP4Es9lS0ieNhyfcxFO,https://api.spotify.com/v1/tracks/2qxqP4Es9lS0ieNhyfcxFO,https://api.spotify.com/v1/audio-analysis/2qxqP4Es9lS0ieNhyfcxFO,224933,5
0.327,0.222,10,-13.931,1,0.0324,0.958,0.0238,0.146,0.289,110.941,audio_features,2ZeM5aRbo7eMZ6SSnryf8R,spotify:track:2ZeM5aRbo7eMZ6SSnryf8R,https://api.spotify.com/v1/tracks/2ZeM5aRbo7eMZ6SSnryf8R,https://api.spotify.com/v1/audio-analysis/2ZeM5aRbo7eMZ6SSnryf8R,224957,4
0.409,0.285,4,-12.594,1,0.0414,0.806,1.05e-06,0.1,0.119,205.942,audio_features,2l8bfbzQxqWZKqyZCrM9Y7,spotify:track:2l8bfbzQxqWZKqyZCrM9Y7,https://api.spotify.com/v1/tracks/2l8bfbzQxqWZKqyZCrM9Y7,https://api.spotify.com/v1/audio-analysis/2l8bfbzQxqWZKqyZCrM9Y7,364400,4
0.443,0.0806,11,-18.202,1,0.0469,0.977,0.000511,0.0955,0.271,77.688,audio_features,6Xl18Edf3v9Z2FLw1H69cr,spotify:track:6Xl18Edf3v9Z2FLw1H69cr,https://api.spotify.com/v1/tracks/6Xl18Edf3v9Z2FLw1H69cr,https://api.spotify.com/v1/audio-analysis/6Xl18Edf3v9Z2FLw1H69cr,168263,4
0.614,0.656,1,-7.559,1,0.0245,0.367,0.15,0.113,0.697,95.531,audio_features,5zjQ3gF7xeNhMh0Is6wX0b,spotify:track:5zjQ3gF7xeNhMh0Is6wX0b,https://api.spotify.com/v1/tracks/5zjQ3gF7xeNhMh0Is6wX0b,https://api.spotify.com/v1/audio-analysis/5zjQ3gF7xeNhMh0Is6wX0b,265627,4
0.658,0.263,2,-15.891,1,0.0252,0.381,0.569,0.102,0.783,86.977,audio_features,553klLGtJCONJztTXktVF6,spotify:track:553klLGtJCONJztTXktVF6,https://api.spotify.com/v1/tracks/553klLGtJCONJztTXktVF6,https://api.spotify.com/v1/audio-analysis/553klLGtJCONJztTXktVF6,221187,4
0.537,0.726,2,-8.057,1,0.031,0.253,3.57e-05,0.124,0.208,97.989,audio_features,37Iurk7tldnNLPYpSq00Ol,spotify:track:37Iurk7tldnNLPYpSq00Ol,https://api.spotify.com/v1/tracks/37Iurk7tldnNLPYpSq00Ol,https://api.spotify.com/v1/audio-analysis/37Iurk7tldnNLPYpSq00Ol,234082,4
0.34,0.812,11,-5.783,0,0.0299,0.0103,0.626,0.263,0.724,219.446,audio_features,6HdMeOwJXD3oY1Thn1bsCY,spotify:track:6HdMeOwJXD3oY1Thn1bsCY,https://api.spotify.com/v1/tracks/6HdMeOwJXD3oY1Thn1bsCY,https://api.spotify.com/v1/audio-analysis/6HdMeOwJXD3oY1Thn1bsCY,301867,4
0.243,0.494,0,-9.205,1,0.0418,0.0246,0.282,0.159,0.0383,119.939,audio_features,2YFSU2cMrGevlkNG5J7rOd,spotify:track:2YFSU2cMrGevlkNG5J7rOd,https://api.spotify.com/v1/tracks/2YFSU2cMrGevlkNG5J7rOd,https://api.spotify.com/v1/audio-analysis/2YFSU2cMrGevlkNG5J7rOd,306733,4
0.489,0.469,10,-10.184,0,0.0271,0.0528,0.081,0.0987,0.0365,151.96,audio_features,5nVoXq0Q239GpJIRG8n4rZ,spotify:track:5nVoXq0Q239GpJIRG8n4rZ,https://api.spotify.com/v1/tracks/5nVoXq0Q239GpJIRG8n4rZ,https://api.spotify.com/v1/audio-analysis/5nVoXq0Q239GpJIRG8n4rZ,286333,4
0.578,0.671,4,-7.747,0,0.0269,0.00372,0.0,0.31,0.586,111.73,audio_features,5ayasjDFHlhyM423I7ayW1,spotify:track:5ayasjDFHlhyM423I7ayW1,https://api.spotify.com/v1/tracks/5ayasjDFHlhyM423I7ayW1,https://api.spotify.com/v1/audio-analysis/5ayasjDFHlhyM423I7ayW1,217293,4
0.203,0.467,9,-12.296,1,0.0452,0.554,0.698,0.108,0.0591,135.073,audio_features,07eGxuz8bL6QMsRqEe1Adu,spotify:track:07eGxuz8bL6QMsRqEe1Adu,https://api.spotify.com/v1/tracks/07eGxuz8bL6QMsRqEe1Adu,https://api.spotify.com/v1/audio-analysis/07eGxuz8bL6QMsRqEe1Adu,606850,3
0.459,0.54,10,-9.015,1,0.0322,0.709,0.00918,0.131,0.441,80.897,audio_features,7IAx9OvToHkT8C4ZlX9hwe,spotify:track:7IAx9OvToHkT8C4ZlX9hwe,https://api.spotify.com/v1/tracks/7IAx9OvToHkT8C4ZlX9hwe,https://api.spotify.com/v1/audio-analysis/7IAx9OvToHkT8C4ZlX9hwe,249259,4
0.492,0.0625,7,-17.093,1,0.0329,0.922,0.000139,0.115,0.0385,104.561,audio_features,42dbPf0M81U47xbawYssYR,spotify:track:42dbPf0M81U47xbawYssYR,https://api.spotify.com/v1/tracks/42dbPf0M81U47xbawYssYR,https://api.spotify.com/v1/audio-analysis/42dbPf0M81U47xbawYssYR,284240,4
0.533,0.712,6,-6.661,1,0.034,0.0161,0.475,0.393,0.687,163.718,audio_features,45zrZUWz5XrAKk50u2N6Kl,spotify:track:45zrZUWz5XrAKk50u2N6Kl,https://api.spotify.com/v1/tracks/45zrZUWz5XrAKk50u2N6Kl,https://api.spotify.com/v1/audio-analysis/45zrZUWz5XrAKk50u2N6Kl,241791,4
0.751,0.595,6,-6.422,0,0.0274,0.209,0.00268,0.0881,0.713,92.999,audio_features,12UQIJePnGeLmpVReYpG2w,spotify:track:12UQIJePnGeLmpVReYpG2w,https://api.spotify.com/v1/tracks/12UQIJePnGeLmpVReYpG2w,https://api.spotify.com/v1/audio-analysis/12UQIJePnGeLmpVReYpG2w,160493,4
0.652,0.697,10,-6.345,1,0.0264,0.035,0.000472,0.156,0.369,115.086,audio_features,6ELP6nqqRDftftpjgioiWW,spotify:track:6ELP6nqqRDftftpjgioiWW,https://api.spotify.com/v1/tracks/6ELP6nqqRDftftpjgioiWW,https://api.spotify.com/v1/audio-analysis/6ELP6nqqRDftftpjgioiWW,208759,4
0.69,0.9,6,-8.122,0,0.0594,0.0364,0.0272,0.354,0.705,94.988,audio_features,13FwwxmOXagAaPdkVxGz7J,spotify:track:13FwwxmOXagAaPdkVxGz7J,https://api.spotify.com/v1/tracks/13FwwxmOXagAaPdkVxGz7J,https://api.spotify.com/v1/audio-analysis/13FwwxmOXagAaPdkVxGz7J,267787,4
0.825,0.569,6,-8.152,0,0.0624,0.0232,0.27,0.0839,0.36,94.003,audio_features,24GfpnI0qKieLnsXZS1wyE,spotify:track:24GfpnI0qKieLnsXZS1wyE,https://api.spotify.com/v1/tracks/24GfpnI0qKieLnsXZS1wyE,https://api.spotify.com/v1/audio-analysis/24GfpnI0qKieLnsXZS1wyE,256648,4
0.651,0.317,10,-10.953,0,0.0303,0.488,0.122,0.0697,0.432,89.975,audio_features,4AHsiWpYmUjeMbBfGryBs9,spotify:track:4AHsiWpYmUjeMbBfGryBs9,https://api.spotify.com/v1/tracks/4AHsiWpYmUjeMbBfGryBs9,https://api.spotify.com/v1/audio-analysis/4AHsiWpYmUjeMbBfGryBs9,207053,4
0.601,0.677,5,-6.472,0,0.0284,0.459,0.104,0.327,0.559,89.96,audio_features,2uQotduUA32t7EwTEMvMyb,spotify:track:2uQotduUA32t7EwTEMvMyb,https://api.spotify.com/v1/tracks/2uQotduUA32t7EwTEMvMyb,https://api.spotify.com/v1/audio-analysis/2uQotduUA32t7EwTEMvMyb,125893,4
0.554,0.728,7,-6.59,0,0.0364,0.0318,0.0159,0.107,0.348,127.033,audio_features,6CjPHVs1j8GIka2LzOTfGM,spotify:track:6CjPHVs1j8GIka2LzOTfGM,https://api.spotify.com/v1/tracks/6CjPHVs1j8GIka2LzOTfGM,https://api.spotify.com/v1/audio-analysis/6CjPHVs1j8GIka2LzOTfGM,216985,4
0.593,0.576,2,-10.331,1,0.032,0.526,0.718,0.0827,0.559,109.935,audio_features,3dvXRk7TZ929m21p49RR5P,spotify:track:3dvXRk7TZ929m21p49RR5P,https://api.spotify.com/v1/tracks/3dvXRk7TZ929m21p49RR5P,https://api.spotify.com/v1/audio-analysis/3dvXRk7TZ929m21p49RR5P,310554,4
0.821,0.384,11,-9.353,1,0.0388,0.78,0.00138,0.11,0.79,87.978,audio_features,3xnM0WCRJKk4Iz49rkG5OC,spotify:track:3xnM0WCRJKk4Iz49rkG5OC,https://api.spotify.com/v1/tracks/3xnM0WCRJKk4Iz49rkG5OC,https://api.spotify.com/v1/audio-analysis/3xnM0WCRJKk4Iz49rkG5OC,205554,4
0.734,0.468,1,-9.029,1,0.0912,0.018,0.0,0.382,0.285,118.0,audio_features,35tWhD29yvWwB0IDRr6zsL,spotify:track:35tWhD29yvWwB0IDRr6zsL,https://api.spotify.com/v1/tracks/35tWhD29yvWwB0IDRr6zsL,https://api.spotify.com/v1/audio-analysis/35tWhD29yvWwB0IDRr6zsL,188947,4
